"icao24","firstseen_datetime","origin","lastseen_datetime","destination","callsign","duration_hours","departure_distance_km","arrival_distance_km","flight_date"
"89655c","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 09:15:58.000 Asia/Muscat","OMDB","UAE6    ","5.3","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"04c03b","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 04:10:44.000 Asia/Muscat","OMDB","KQA310  ","0.2","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"8965b2","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 08:39:23.000 Asia/Muscat","OMDB","FDB1784 ","4.7","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"394a12","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 09:23:39.000 Asia/Muscat","OMDB","AFR658  ","5.4","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"896512","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 07:56:14.000 Asia/Muscat","OMDB","FDB4XY  ","3.9","","4.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"89610f","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 09:05:27.000 Asia/Muscat","OMDB","UAE42   ","5.1","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"4078de","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 08:48:29.000 Asia/Muscat","OMDB","BAW109  ","4.8","","5.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"4080b6","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 08:14:42.000 Asia/Muscat","OMDB","BAW105  ","4.2","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"3c786c","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 08:18:25.000 Asia/Muscat","OMDB","CFG500  ","4.3","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"4bb470","2026-01-01 04:00:04.000 Asia/Muscat","OMSJ","2026-01-01 10:50:18.000 Asia/Muscat","VHHH","MNB300  ","6.8","4.400000","0.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"780092","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 09:17:56.000 Asia/Muscat","OMDW","CAO3063 ","5.3","","3.000000","2026-01-01 04:00:00.000 Asia/Muscat"
